row_index,model,total_roman_words,english_lexicon_words,hindi_lexicon_words,classified_words,english_share_classified,hindi_share_classified,code_mixing_index_percent,both_languages_present
0,HingGPT,37.0,25.0,0.0,25.0,1.0,0.0,0.0,0.0
1,HingGPT,11.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0
2,HingGPT,43.0,30.0,1.0,31.0,0.967741935483871,0.03225806451612903,3.225806451612903,1.0
3,HingGPT,31.0,7.0,0.0,7.0,1.0,0.0,0.0,0.0
4,HingGPT,39.0,22.0,1.0,23.0,0.9565217391304348,0.043478260869565216,4.3478260869565215,1.0
5,HingGPT,16.0,9.0,3.0,12.0,0.75,0.25,25.0,1.0
6,HingGPT,35.0,6.0,0.0,6.0,1.0,0.0,0.0,0.0
7,HingGPT,37.0,26.0,1.0,27.0,0.9629629629629629,0.037037037037037035,3.7037037037037033,1.0
8,HingGPT,40.0,15.0,0.0,15.0,1.0,0.0,0.0,0.0
9,HingGPT,41.0,22.0,1.0,23.0,0.9565217391304348,0.043478260869565216,4.3478260869565215,1.0
10,HingGPT,42.0,32.0,2.0,34.0,0.9411764705882353,0.058823529411764705,5.88235294117647,1.0
11,HingGPT,13.0,7.0,0.0,7.0,1.0,0.0,0.0,0.0
12,HingGPT,46.0,31.0,2.0,33.0,0.9393939393939394,0.06060606060606061,6.0606060606060606,1.0
13,HingGPT,43.0,8.0,13.0,21.0,0.38095238095238093,0.6190476190476191,38.095238095238095,1.0
14,HingGPT,41.0,21.0,2.0,23.0,0.9130434782608695,0.08695652173913043,8.695652173913043,1.0
15,HingGPT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,HingGPT,35.0,15.0,1.0,16.0,0.9375,0.0625,6.25,1.0
17,HingGPT,42.0,27.0,1.0,28.0,0.9642857142857143,0.03571428571428571,3.571428571428571,1.0
18,HingGPT,38.0,12.0,0.0,12.0,1.0,0.0,0.0,0.0
19,HingGPT,26.0,15.0,0.0,15.0,1.0,0.0,0.0,0.0
20,HingGPT,44.0,30.0,2.0,32.0,0.9375,0.0625,6.25,1.0
21,HingGPT,40.0,17.0,0.0,17.0,1.0,0.0,0.0,0.0
22,HingGPT,44.0,31.0,0.0,31.0,1.0,0.0,0.0,0.0
23,HingGPT,44.0,24.0,0.0,24.0,1.0,0.0,0.0,0.0
24,HingGPT,35.0,17.0,3.0,20.0,0.85,0.15,15.0,1.0
25,HingGPT,32.0,15.0,5.0,20.0,0.75,0.25,25.0,1.0
26,HingGPT,25.0,14.0,1.0,15.0,0.9333333333333333,0.06666666666666667,6.666666666666667,1.0
27,HingGPT,37.0,22.0,0.0,22.0,1.0,0.0,0.0,0.0
28,HingGPT,39.0,18.0,1.0,19.0,0.9473684210526315,0.05263157894736842,5.263157894736842,1.0
29,HingGPT,41.0,24.0,1.0,25.0,0.96,0.04,4.0,1.0
30,HingGPT,41.0,12.0,0.0,12.0,1.0,0.0,0.0,0.0
31,HingGPT,31.0,12.0,6.0,18.0,0.6666666666666666,0.3333333333333333,33.33333333333333,1.0
32,HingGPT,44.0,25.0,0.0,25.0,1.0,0.0,0.0,0.0
33,HingGPT,42.0,24.0,0.0,24.0,1.0,0.0,0.0,0.0
0,Phi-3.5-mini,31.0,15.0,2.0,17.0,0.8823529411764706,0.11764705882352941,11.76470588235294,1.0
1,Phi-3.5-mini,23.0,3.0,8.0,11.0,0.2727272727272727,0.7272727272727273,27.27272727272727,1.0
2,Phi-3.5-mini,25.0,1.0,14.0,15.0,0.06666666666666667,0.9333333333333333,6.666666666666667,1.0
3,Phi-3.5-mini,30.0,9.0,1.0,10.0,0.9,0.1,10.0,1.0
4,Phi-3.5-mini,19.0,0.0,10.0,10.0,0.0,1.0,0.0,0.0
5,Phi-3.5-mini,20.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0
6,Phi-3.5-mini,15.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0
7,Phi-3.5-mini,29.0,13.0,0.0,13.0,1.0,0.0,0.0,0.0
8,Phi-3.5-mini,27.0,13.0,0.0,13.0,1.0,0.0,0.0,0.0
9,Phi-3.5-mini,27.0,9.0,4.0,13.0,0.6923076923076923,0.3076923076923077,30.76923076923077,1.0
10,Phi-3.5-mini,31.0,9.0,1.0,10.0,0.9,0.1,10.0,1.0
11,Phi-3.5-mini,27.0,8.0,9.0,17.0,0.47058823529411764,0.5294117647058824,47.05882352941176,1.0
12,Phi-3.5-mini,33.0,15.0,0.0,15.0,1.0,0.0,0.0,0.0
13,Phi-3.5-mini,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Phi-3.5-mini,31.0,12.0,0.0,12.0,1.0,0.0,0.0,0.0
15,Phi-3.5-mini,24.0,3.0,12.0,15.0,0.2,0.8,20.0,1.0
16,Phi-3.5-mini,31.0,12.0,0.0,12.0,1.0,0.0,0.0,0.0
17,Phi-3.5-mini,29.0,12.0,0.0,12.0,1.0,0.0,0.0,0.0
18,Phi-3.5-mini,29.0,10.0,0.0,10.0,1.0,0.0,0.0,0.0
19,Phi-3.5-mini,24.0,1.0,11.0,12.0,0.08333333333333333,0.9166666666666666,8.333333333333332,1.0
20,Phi-3.5-mini,32.0,9.0,8.0,17.0,0.5294117647058824,0.47058823529411764,47.05882352941176,1.0
21,Phi-3.5-mini,29.0,7.0,0.0,7.0,1.0,0.0,0.0,0.0
22,Phi-3.5-mini,25.0,6.0,3.0,9.0,0.6666666666666666,0.3333333333333333,33.33333333333333,1.0
23,Phi-3.5-mini,31.0,13.0,2.0,15.0,0.8666666666666667,0.13333333333333333,13.333333333333334,1.0
24,Phi-3.5-mini,31.0,9.0,1.0,10.0,0.9,0.1,10.0,1.0
25,Phi-3.5-mini,23.0,0.0,10.0,10.0,0.0,1.0,0.0,0.0
26,Phi-3.5-mini,22.0,1.0,10.0,11.0,0.09090909090909091,0.9090909090909091,9.090909090909092,1.0
27,Phi-3.5-mini,18.0,0.0,9.0,9.0,0.0,1.0,0.0,0.0
28,Phi-3.5-mini,19.0,4.0,6.0,10.0,0.4,0.6,40.0,1.0
29,Phi-3.5-mini,16.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0
30,Phi-3.5-mini,26.0,0.0,10.0,10.0,0.0,1.0,0.0,0.0
31,Phi-3.5-mini,34.0,12.0,4.0,16.0,0.75,0.25,25.0,1.0
32,Phi-3.5-mini,20.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0
33,Phi-3.5-mini,23.0,1.0,8.0,9.0,0.1111111111111111,0.8888888888888888,11.11111111111111,1.0
0,Qwen2.5-3B,35.0,20.0,0.0,20.0,1.0,0.0,0.0,0.0
1,Qwen2.5-3B,30.0,11.0,0.0,11.0,1.0,0.0,0.0,0.0
2,Qwen2.5-3B,46.0,20.0,1.0,21.0,0.9523809523809523,0.047619047619047616,4.761904761904762,1.0
